ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-06-11,32.759892338193005,34.659137163567756,38.976068410058026,32.759892338193005,32.759892338193005,4.040012804229299,4.040012804229299,4.040012804229299,0.044830586049500395,0.044830586049500395,0.044830586049500395,3.9951822181797985,3.9951822181797985,3.9951822181797985,0.0,0.0,0.0,36.799905142422304
2013-06-12,32.75705697539408,34.548307793289275,38.72690190814613,32.75705697539408,32.75705697539408,3.8895715784897638,3.8895715784897638,3.8895715784897638,-0.030525548992184705,-0.030525548992184705,-0.030525548992184705,3.9200971274819483,3.9200971274819483,3.9200971274819483,0.0,0.0,0.0,36.64662855388384
2013-06-13,32.75422161259515,34.35514082219685,38.709015585810405,32.75422161259515,32.75422161259515,3.808569878127698,3.808569878127698,3.808569878127698,-0.037468179000126924,-0.037468179000126924,-0.037468179000126924,3.8460380571278248,3.8460380571278248,3.8460380571278248,0.0,0.0,0.0,36.56279149072285
2013-06-14,32.751386249796234,34.50556805477573,38.72660533314594,32.751386249796234,32.751386249796234,3.866975809910557,3.866975809910557,3.866975809910557,0.09387901521022074,0.09387901521022074,0.09387901521022074,3.773096794700336,3.773096794700336,3.773096794700336,0.0,0.0,0.0,36.61836205970679
2013-06-15,32.74855088699731,34.38249781127045,38.628164437351444,32.74855088699731,32.74855088699731,3.69886933356561,3.69886933356561,3.69886933356561,-0.002383322169634007,-0.002383322169634007,-0.002383322169634007,3.701252655735244,3.701252655735244,3.701252655735244,0.0,0.0,0.0,36.44742022056292
2013-06-16,32.74571552419838,34.318287272844394,38.40651821069669,32.74571552419838,32.74571552419838,3.618817793361539,3.618817793361539,3.618817793361539,-0.011565151858662463,-0.011565151858662463,-0.011565151858662463,3.630382945220201,3.630382945220201,3.630382945220201,0.0,0.0,0.0,36.36453331755992
2013-06-17,32.74288016139946,34.08473175125975,38.35027324860804,32.74288016139946,32.74288016139946,3.5035090155733832,3.5035090155733832,3.5035090155733832,-0.056767399238865285,-0.056767399238865285,-0.056767399238865285,3.5602764148122485,3.5602764148122485,3.5602764148122485,0.0,0.0,0.0,36.24638917697285
2013-06-18,32.740044798600536,34.28432565252804,38.366541417333266,32.740044798600536,32.740044798600536,3.535479849576569,3.535479849576569,3.535479849576569,0.044830586049715064,0.044830586049715064,0.044830586049715064,3.490649263526854,3.490649263526854,3.490649263526854,0.0,0.0,0.0,36.275524648177104
2013-06-19,32.73720943580162,34.09730222483223,38.147031306830975,32.73720943580162,32.73720943580162,3.3906376111927794,3.3906376111927794,3.3906376111927794,-0.03052554899215765,-0.03052554899215765,-0.03052554899215765,3.4211631601849377,3.4211631601849377,3.4211631601849377,0.0,0.0,0.0,36.1278470469944
2013-06-20,32.73437407300269,33.92069427234625,38.21623079544316,32.73437407300269,32.73437407300269,3.3139765328074664,3.3139765328074664,3.3139765328074664,-0.03746817899985669,-0.03746817899985669,-0.03746817899985669,3.3514447118073236,3.3514447118073236,3.3514447118073236,0.0,0.0,0.0,36.04835060581016
2013-06-21,32.731538710203765,34.1226554870642,38.337550691542056,32.731538710203765,32.731538710203765,3.3749847800560793,3.3749847800560793,3.3749847800560793,0.09387901521010249,0.09387901521010249,0.09387901521010249,3.281105764845977,3.281105764845977,3.281105764845977,0.0,0.0,0.0,36.106523490259846
2013-06-22,32.72870334740484,33.6991612428644,38.055130089528916,32.72870334740484,32.72870334740484,3.20738058446412,3.20738058446412,3.20738058446412,-0.0023833221696190465,-0.0023833221696190465,-0.0023833221696190465,3.2097639066337393,3.2097639066337393,3.2097639066337393,0.0,0.0,0.0,35.93608393186896
2013-06-23,32.72586798460592,33.78649702401477,38.16171089767461,32.72586798460592,32.72586798460592,3.1254973813437306,3.1254973813437306,3.1254973813437306,-0.011565151858574402,-0.011565151858574402,-0.011565151858574402,3.137062533202305,3.137062533202305,3.137062533202305,0.0,0.0,0.0,35.85136536594965
2013-06-24,32.72303262180699,33.67303526934159,37.832124812499195,32.72303262180699,32.72303262180699,3.00592246735236,3.00592246735236,3.00592246735236,-0.056767399239095385,-0.056767399239095385,-0.056767399239095385,3.0626898665914553,3.0626898665914553,3.0626898665914553,0.0,0.0,0.0,35.728955089159356
2013-06-25,32.720197259008074,33.67191512587406,37.846089941030954,32.720197259008074,32.720197259008074,3.0312269254533604,3.0312269254533604,3.0312269254533604,0.044830586049387285,0.044830586049387285,0.044830586049387285,2.986396339403973,2.986396339403973,2.986396339403973,0.0,0.0,0.0,35.751424184461435
2013-06-26,32.71736189620915,33.47082668011279,37.72923826139753,32.71736189620915,32.71736189620915,2.8774842665882563,2.8774842665882563,2.8774842665882563,-0.030525548992130586,-0.030525548992130586,-0.030525548992130586,2.908009815580387,2.908009815580387,2.908009815580387,0.0,0.0,0.0,35.5948461627974
2013-06-27,32.71452653341022,33.4181841358467,37.5383343676285,32.71452653341022,32.71452653341022,2.789980003640298,2.789980003640298,2.789980003640298,-0.037468179000147574,-0.037468179000147574,-0.037468179000147574,2.827448182640446,2.827448182640446,2.827448182640446,0.0,0.0,0.0,35.50450653705052
2013-06-28,32.7116911706113,33.4896142031949,37.58170998780884,32.7116911706113,32.7116911706113,2.8386079452150677,2.8386079452150677,2.8386079452150677,0.0938790152101893,0.0938790152101893,0.0938790152101893,2.7447289300048783,2.7447289300048783,2.7447289300048783,0.0,0.0,0.0,35.55029911582637
2013-06-29,32.70885580781238,33.495022487095056,37.703025250337085,32.70885580781238,32.70885580781238,2.6575920959894117,2.6575920959894117,2.6575920959894117,-0.002383322169426121,-0.002383322169426121,-0.002383322169426121,2.6599754181588375,2.6599754181588375,2.6599754181588375,0.0,0.0,0.0,35.36644790380179
2013-06-30,32.70602044501346,33.06504216686175,37.38765586101773,32.70602044501346,32.70602044501346,2.5618544898580646,2.5618544898580646,2.5618544898580646,-0.011565151858615102,-0.011565151858615102,-0.011565151858615102,2.5734196417166797,2.5734196417166797,2.5734196417166797,0.0,0.0,0.0,35.26787493487152
2013-07-01,32.70318508221453,33.03918443106261,37.378169748956495,32.70318508221453,32.70318508221453,2.4286339938275034,2.4286339938275034,2.4286339938275034,-0.05676739923916987,-0.05676739923916987,-0.05676739923916987,2.485401393066673,2.485401393066673,2.485401393066673,0.0,0.0,0.0,35.131819076042035
2013-07-02,32.700349719415605,33.03115463021013,37.18571366722946,32.700349719415605,32.700349719415605,2.441194425256618,2.441194425256618,2.441194425256618,0.044830586049581254,0.044830586049581254,0.044830586049581254,2.3963638392070368,2.3963638392070368,2.3963638392070368,0.0,0.0,0.0,35.141544144672224
2013-07-03,32.697514356616686,32.76810836033558,37.04746683198152,32.697514356616686,32.697514356616686,2.276320080630445,2.276320080630445,2.276320080630445,-0.03052554899210353,-0.03052554899210353,-0.03052554899210353,2.306845629622549,2.306845629622549,2.306845629622549,0.0,0.0,0.0,34.973834437247135
2013-07-04,32.69467899381776,32.845491987120496,37.09258208352112,32.69467899381776,32.69467899381776,2.1800015755638134,2.1800015755638134,2.1800015755638134,-0.03746817900002478,-0.03746817900002478,-0.03746817900002478,2.2174697545638384,2.2174697545638384,2.2174697545638384,0.0,0.0,0.0,34.874680569381574
2013-07-05,32.69184363101884,32.59750142846049,37.03246067052175,32.69184363101884,32.69184363101884,2.2228084832065886,2.2228084832065886,2.2228084832065886,0.09387901520996052,0.09387901520996052,0.09387901520996052,2.1289294679966284,2.1289294679966284,2.1289294679966284,0.0,0.0,0.0,34.91465211422543
2013-07-06,32.689008268219915,32.873994079734366,36.91852691923611,32.689008268219915,32.689008268219915,2.0395883529301284,2.0395883529301284,2.0395883529301284,-0.002383322169517199,-0.002383322169517199,-0.002383322169517199,2.0419716750996457,2.0419716750996457,2.0419716750996457,0.0,0.0,0.0,34.72859662115005
2013-07-07,32.68617290542099,32.492587736987474,36.745352609990206,32.68617290542099,32.68617290542099,1.9458131062306427,1.9458131062306427,1.9458131062306427,-0.011565151858655786,-0.011565151858655786,-0.011565151858655786,1.9573782580892982,1.9573782580892982,1.9573782580892982,0.0,0.0,0.0,34.631986011651634
2013-07-08,32.68333754262207,32.29191086527312,36.74491240413532,32.68333754262207,32.68333754262207,1.8191784750348303,1.8191784750348303,1.8191784750348303,-0.05676739923890514,-0.05676739923890514,-0.05676739923890514,1.8759458742737356,1.8759458742737356,1.8759458742737356,0.0,0.0,0.0,34.5025160176569
2013-07-09,32.680502179823144,32.34437508845282,36.73617708084622,32.680502179823144,32.680502179823144,1.843295390951688,1.843295390951688,1.843295390951688,0.04483058604929489,0.04483058604929489,0.04483058604929489,1.7984648049023932,1.7984648049023932,1.7984648049023932,0.0,0.0,0.0,34.52379757077483
2013-07-10,32.67766681702422,32.229681035647815,36.58884317593954,32.67766681702422,32.67766681702422,1.695171912395254,1.695171912395254,1.695171912395254,-0.030525548992263098,-0.030525548992263098,-0.030525548992263098,1.725697461387517,1.725697461387517,1.725697461387517,0.0,0.0,0.0,34.37283872941947
2013-07-11,32.67483145422529,32.18410146330463,36.26908086235063,32.67483145422529,32.67483145422529,1.6208889870675016,1.6208889870675016,1.6208889870675016,-0.0374681790000351,-0.0374681790000351,-0.0374681790000351,1.6583571660675367,1.6583571660675367,1.6583571660675367,0.0,0.0,0.0,34.295720441292794
2013-07-12,32.67199609142637,32.327229571471676,36.501555269554004,32.67199609142637,32.67199609142637,1.6909668328393597,1.6909668328393597,1.6909668328393597,0.09387901520984225,0.09387901520984225,0.09387901520984225,1.5970878176295173,1.5970878176295173,1.5970878176295173,0.0,0.0,0.0,34.36296292426573
2013-07-13,32.669160728627446,32.046325773713356,36.16898855719166,32.669160728627446,32.669160728627446,1.5400617047106104,1.5400617047106104,1.5400617047106104,-0.0023833221695192877,-0.0023833221695192877,-0.0023833221695192877,1.5424450268801297,1.5424450268801297,1.5424450268801297,0.0,0.0,0.0,34.209222433338056
2013-07-14,32.66632536582853,31.989876167971566,36.10452963580876,32.66632536582853,32.66632536582853,1.4833141156449916,1.4833141156449916,1.4833141156449916,-0.011565151858696478,-0.011565151858696478,-0.011565151858696478,1.494879267503688,1.494879267503688,1.494879267503688,0.0,0.0,0.0,34.14963948147352
2013-07-15,32.6634900030296,31.983609115233584,36.1160342939762,32.6634900030296,32.6634900030296,1.3979541307763361,1.3979541307763361,1.3979541307763361,-0.056767399239135236,-0.056767399239135236,-0.056767399239135236,1.4547215300154717,1.4547215300154717,1.4547215300154717,0.0,0.0,0.0,34.061444133805935
2013-07-16,32.660654640230675,32.16847125716132,36.201674377705004,32.660654640230675,32.660654640230675,1.4670024830124881,1.4670024830124881,1.4670024830124881,0.04483058604948887,0.04483058604948887,0.04483058604948887,1.4221718969629993,1.4221718969629993,1.4221718969629993,0.0,0.0,0.0,34.12765712324316
2013-07-17,32.657819277431756,31.892228721589568,36.07582422660106,32.657819277431756,32.657819277431756,1.3667658266266445,1.3667658266266445,1.3667658266266445,-0.03052554899223604,-0.03052554899223604,-0.03052554899223604,1.3972913756188805,1.3972913756188805,1.3972913756188805,0.0,0.0,0.0,34.0245851040584
