ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,31.614097500000003,27.28299759915529,31.592997144330244,31.614097500000003,31.614097500000003,-2.156200245013187,-2.156200245013187,-2.156200245013187,-0.011601274513184757,-0.011601274513184757,-0.011601274513184757,-2.1445989705000024,-2.1445989705000024,-2.1445989705000024,0.0,0.0,0.0,29.457897254986815
2010-01-02,31.607469969283933,27.27513974873149,31.53410437092515,31.607469969283933,31.607469969283933,-2.12625862966089,-2.12625862966089,-2.12625862966089,-0.013991163495209452,-0.013991163495209452,-0.013991163495209452,-2.112267466165681,-2.112267466165681,-2.112267466165681,0.0,0.0,0.0,29.481211339623044
2010-01-03,31.600842438567863,27.29884951892656,31.67870511650819,31.600842438567863,31.600842438567863,-2.06857825182128,-2.06857825182128,-2.06857825182128,0.015238477029198842,0.015238477029198842,0.015238477029198842,-2.0838167288504783,-2.0838167288504783,-2.0838167288504783,0.0,0.0,0.0,29.532264186746584
2010-01-04,31.594214907851796,27.4780994811037,31.6540516512431,31.594214907851796,31.594214907851796,-2.095412483921097,-2.095412483921097,-2.095412483921097,-0.03625198408979742,-0.03625198408979742,-0.03625198408979742,-2.0591604998313,-2.0591604998313,-2.0591604998313,0.0,0.0,0.0,29.498802423930698
2010-01-05,31.587587377135726,27.525846961924834,31.683240398135144,31.587587377135726,31.587587377135726,-1.9920197418360663,-1.9920197418360663,-1.9920197418360663,0.046078069961128114,0.046078069961128114,0.046078069961128114,-2.0380978117971944,-2.0380978117971944,-2.0380978117971944,0.0,0.0,0.0,29.59556763529966
2010-01-06,31.58095984641966,27.441635408249144,31.71567394035285,31.58095984641966,31.58095984641966,-2.028240381653616,-2.028240381653616,-2.028240381653616,-0.007924316941859001,-0.007924316941859001,-0.007924316941859001,-2.020316064711757,-2.020316064711757,-2.020316064711757,0.0,0.0,0.0,29.552719464766042
2010-01-07,31.574332315703593,27.350944007159864,31.699154690387605,31.574332315703593,31.574332315703593,-1.9969444783716916,-1.9969444783716916,-1.9969444783716916,0.008452192049967026,0.008452192049967026,0.008452192049967026,-2.005396670421659,-2.005396670421659,-2.005396670421659,0.0,0.0,0.0,29.5773878373319
2010-01-08,31.567704784987523,27.483389717526677,31.576208192258985,31.567704784987523,31.567704784987523,-2.0044244204660004,-2.0044244204660004,-2.0044244204660004,-0.011601274513351892,-0.011601274513351892,-0.011601274513351892,-1.9928231459526489,-1.9928231459526489,-1.9928231459526489,0.0,0.0,0.0,29.56328036452152
2010-01-09,31.561077254271456,27.539625352368986,31.900781595759504,31.561077254271456,31.561077254271456,-1.9959826397623528,-1.9959826397623528,-1.9959826397623528,-0.013991163495255,-0.013991163495255,-0.013991163495255,-1.981991476267098,-1.981991476267098,-1.981991476267098,0.0,0.0,0.0,29.565094614509103
2010-01-10,31.55444972355539,27.381367190752336,31.65983655495944,31.55444972355539,31.55444972355539,-1.9569840355847252,-1.9569840355847252,-1.9569840355847252,0.015238477029225485,0.015238477029225485,0.015238477029225485,-1.9722225126139505,-1.9722225126139505,-1.9722225126139505,0.0,0.0,0.0,29.597465687970665
2010-01-11,31.547822192839316,27.306379774853422,31.704719543301323,31.547822192839316,31.547822192839316,-1.999028107944638,-1.999028107944638,-1.999028107944638,-0.03625198408977275,-0.03625198408977275,-0.03625198408977275,-1.962776123854865,-1.962776123854865,-1.962776123854865,0.0,0.0,0.0,29.548794084894677
2010-01-12,31.54119466212325,27.516390798607322,31.76113076646909,31.54119466212325,31.54119466212325,-1.9067887065415394,-1.9067887065415394,-1.9067887065415394,0.04607806996105278,0.04607806996105278,0.04607806996105278,-1.9528667765025922,-1.9528667765025922,-1.9528667765025922,0.0,0.0,0.0,29.63440595558171
2010-01-13,31.53456713140718,27.344556874533744,31.68498925040024,31.53456713140718,31.53456713140718,-1.9496045026215947,-1.9496045026215947,-1.9496045026215947,-0.007924316941841333,-0.007924316941841333,-0.007924316941841333,-1.9416801856797534,-1.9416801856797534,-1.9416801856797534,0.0,0.0,0.0,29.584962628785586
2010-01-14,31.527939600691113,27.541826753342196,31.75182634201269,31.527939600691113,31.527939600691113,-1.919938462542186,-1.919938462542186,-1.919938462542186,0.008452192049907709,0.008452192049907709,0.008452192049907709,-1.928390654592094,-1.928390654592094,-1.928390654592094,0.0,0.0,0.0,29.60800113814893
2010-01-15,31.521312069975046,27.50222571953225,31.872859062170345,31.521312069975046,31.521312069975046,-1.9237799794908579,-1.9237799794908579,-1.9237799794908579,-0.011601274513294279,-0.011601274513294279,-0.011601274513294279,-1.9121787049775638,-1.9121787049775638,-1.9121787049775638,0.0,0.0,0.0,29.597532090484187
