ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-11-25 00:00:00,4.160635,4.4364938716452,6.2407681071754855,4.160635,4.160635,1.1155064491920217,1.1155064491920217,1.1155064491920217,0.7562094499943204,0.7562094499943204,0.7562094499943204,0.18836239975576524,0.18836239975576524,0.18836239975576524,0.1709345994419363,0.1709345994419363,0.1709345994419363,0.0,0.0,0.0,5.276141449192021
2020-11-26 00:00:00,4.159984143551326,4.285523354897909,6.108803150348007,4.159984143551326,4.159984143551326,1.0130972615991336,1.0130972615991336,1.0130972615991336,0.7562094499994676,0.7562094499994676,0.7562094499994676,0.10374344999973467,0.10374344999973467,0.10374344999973467,0.15314436159993136,0.15314436159993136,0.15314436159993136,0.0,0.0,0.0,5.17308140515046
2020-11-27 00:00:00,4.159333287102652,4.155621550803154,5.979274252480268,4.159333287102652,4.159333287102652,0.8960288526135298,0.8960288526135298,0.8960288526135298,0.7562094499915379,0.7562094499915379,0.7562094499915379,0.0038103467977082875,0.0038103467977082875,0.0038103467977082875,0.13600905582428363,0.13600905582428363,0.13600905582428363,0.0,0.0,0.0,5.055362139716182
2020-11-28 00:00:00,4.158682430653978,4.111096673929271,5.939095858020896,4.158682430653978,4.158682430653978,0.8222194012651893,0.8222194012651893,0.8222194012651893,0.7562094499966854,0.7562094499966854,0.7562094499966854,-0.053943738672038055,-0.053943738672038055,-0.053943738672038055,0.11995368994054185,0.11995368994054185,0.11995368994054185,0.0,0.0,0.0,4.980901831919168
2020-11-29 00:00:00,4.158031574205304,3.90135379801205,5.732928999581028,4.158031574205304,4.158031574205304,0.6974378261714815,0.6974378261714815,0.6974378261714815,0.7562094499945405,0.7562094499945405,0.7562094499945405,-0.1641820606435376,-0.1641820606435376,-0.1641820606435376,0.10541043682047861,0.10541043682047861,0.10541043682047861,0.0,0.0,0.0,4.855469400376785
2020-11-30 00:00:00,4.157380717756631,4.110787085837222,5.877419256663188,4.157380717756631,4.157380717756631,0.8228345977218732,0.8228345977218732,0.8228345977218732,0.756209449999688,0.756209449999688,0.756209449999688,-0.02618037903128398,-0.02618037903128398,-0.02618037903128398,0.09280552675346913,0.09280552675346913,0.09280552675346913,0.0,0.0,0.0,4.980215315478504
2020-12-01 00:00:00,4.156729861307957,4.06850798808181,5.825509490977637,4.156729861307957,4.156729861307957,0.7871452368777999,0.7871452368777999,0.7871452368777999,0.7562094499917582,0.7562094499917582,0.7562094499917582,-0.05161001820690417,-0.05161001820690417,-0.05161001820690417,0.08254580509294579,0.08254580509294579,0.08254580509294579,0.0,0.0,0.0,4.943875098185757
2020-12-02 00:00:00,4.156079004859283,4.298023301923247,6.06012526184013,4.156079004859283,4.156079004859283,1.019577221081771,1.019577221081771,1.019577221081771,0.7562094499969058,0.7562094499969058,0.7562094499969058,0.18836239975606558,0.18836239975606558,0.18836239975606558,0.07500537132879978,0.07500537132879978,0.07500537132879978,0.0,0.0,0.0,5.175656225941054
2020-12-03 00:00:00,4.155428148410609,4.155238765448957,5.95250706146601,4.155428148410609,4.155428148410609,0.9304656226018333,0.9304656226018333,0.9304656226018333,0.7562094500020532,0.7562094500020532,0.7562094500020532,0.10374344999976959,0.10374344999976959,0.10374344999976959,0.07051272260001049,0.07051272260001049,0.07051272260001049,0.0,0.0,0.0,5.085893771012442
2020-12-04 00:00:00,4.154777291961935,4.048756019203645,5.920799968063069,4.154777291961935,4.154777291961935,0.8293586151915684,0.8293586151915684,0.8293586151915684,0.7562094499941235,0.7562094499941235,0.7562094499941235,0.0038103467980215135,0.0038103467980215135,0.0038103467980215135,0.06933881839942332,0.06933881839942332,0.06933881839942332,0.0,0.0,0.0,4.984135907153503
2020-12-05 00:00:00,4.154126435513262,3.9791229013082825,5.850146588137421,4.154126435513262,4.154126435513262,0.7739521751684975,0.7739521751684975,0.7739521751684975,0.756209449999271,0.756209449999271,0.756209449999271,-0.053943738672405706,-0.053943738672405706,-0.053943738672405706,0.07168646384163228,0.07168646384163228,0.07168646384163228,0.0,0.0,0.0,4.928078610681759
2020-12-06 00:00:00,4.153475579064588,3.916009035448071,5.723760148546422,4.153475579064588,4.153475579064588,0.6697087660920613,0.6697087660920613,0.6697087660920613,0.756209449997126,0.756209449997126,0.756209449997126,-0.1641820606436077,-0.1641820606436077,-0.1641820606436077,0.07768137673854286,0.07768137673854286,0.07768137673854286,0.0,0.0,0.0,4.823184345156649
2020-12-07 00:00:00,4.152824722615914,4.171155752984772,5.891306806347384,4.152824722615914,4.152824722615914,0.8173943306318983,0.8173943306318983,0.8173943306318983,0.7562094499891965,0.7562094499891965,0.7562094499891965,-0.02618037903136144,-0.02618037903136144,-0.02618037903136144,0.08736525967406329,0.08736525967406329,0.08736525967406329,0.0,0.0,0.0,4.970219053247812
2020-12-08 00:00:00,4.1521738661672405,4.053404162614605,5.887897125837858,4.1521738661672405,4.1521738661672405,0.8052905752327697,0.8052905752327697,0.8052905752327697,0.7562094499943438,0.7562094499943438,0.7562094499943438,-0.05161001820689692,-0.05161001820689692,-0.05161001820689692,0.10069114344532273,0.10069114344532273,0.10069114344532273,0.0,0.0,0.0,4.95746444140001
