,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-01-01,33.159465,18.024873253745696,24.89895196560418,33.159465,33.159465,-11.791388805232433,-11.791388805232433,-11.791388805232433,-0.08389238723253503,-0.08389238723253503,-0.08389238723253503,-11.707496417999897,-11.707496417999897,-11.707496417999897,0.0,0.0,0.0,21.368076194767564
1,2010-01-02,33.15772019352351,17.947878498091367,24.887869523726604,33.15772019352351,33.15772019352351,-11.722334881964926,-11.722334881964926,-11.722334881964926,0.07820448515137987,0.07820448515137987,0.07820448515137987,-11.800539367116308,-11.800539367116308,-11.800539367116308,0.0,0.0,0.0,21.435385311558584
2,2010-01-03,33.15597538704703,17.804913959626447,24.8417971251576,33.15597538704703,33.15597538704703,-11.847598649165665,-11.847598649165665,-11.847598649165665,0.02999802228252292,0.02999802228252292,0.02999802228252292,-11.877596671448186,-11.877596671448186,-11.877596671448186,0.0,0.0,0.0,21.308376737881364
3,2010-01-04,33.15423058057054,17.890802922846508,24.770649860549483,33.15423058057054,33.15423058057054,-11.88311964543863,-11.88311964543863,-11.88311964543863,0.05529279067850547,0.05529279067850547,0.05529279067850547,-11.938412436117135,-11.938412436117135,-11.938412436117135,0.0,0.0,0.0,21.27111093513191
4,2010-01-05,33.15248577409406,17.453838683048573,24.575074014542256,33.15248577409406,33.15248577409406,-11.946145458244484,-11.946145458244484,-11.946145458244484,0.036735203251498504,0.036735203251498504,0.036735203251498504,-11.982880661495981,-11.982880661495981,-11.982880661495981,0.0,0.0,0.0,21.206340315849577
5,2010-01-06,33.15074096761757,17.735719499291594,24.35026129695004,33.15074096761757,33.15074096761757,-12.050814811673789,-12.050814811673789,-12.050814811673789,-0.03977275013153148,-0.03977275013153148,-0.03977275013153148,-12.011042061542257,-12.011042061542257,-12.011042061542257,0.0,0.0,0.0,21.099926155943784
6,2010-01-07,33.14899616114109,17.53766183818859,24.524939405708352,33.14899616114109,33.14899616114109,-12.09964303172768,-12.09964303172768,-12.09964303172768,-0.0765653639999164,-0.0765653639999164,-0.0765653639999164,-12.023077667727764,-12.023077667727764,-12.023077667727764,0.0,0.0,0.0,21.04935312941341
7,2010-01-08,33.14725135466461,17.437816594223374,24.126241866759752,33.14725135466461,33.14725135466461,-12.103191821162778,-12.103191821162778,-12.103191821162778,-0.08389238723240851,-0.08389238723240851,-0.08389238723240851,-12.01929943393037,-12.01929943393037,-12.01929943393037,0.0,0.0,0.0,21.044059533501834
8,2010-01-09,33.14550654818812,17.58864408240231,24.849296657542467,33.14550654818812,33.14550654818812,-11.921933658577144,-11.921933658577144,-11.921933658577144,0.07820448515141505,0.07820448515141505,0.07820448515141505,-12.00013814372856,-12.00013814372856,-12.00013814372856,0.0,0.0,0.0,21.223572889610978
9,2010-01-10,33.14376174171164,17.635711354245792,24.512166862929114,33.14376174171164,33.14376174171164,-11.936130976305442,-11.936130976305442,-11.936130976305442,0.029998022282538048,0.029998022282538048,0.029998022282538048,-11.966128998587982,-11.966128998587982,-11.966128998587982,0.0,0.0,0.0,21.2076307654062
10,2010-01-11,33.142016935235155,18.059189790320403,24.76310359288313,33.142016935235155,33.142016935235155,-11.862602540356212,-11.862602540356212,-11.862602540356212,0.05529279067867057,0.05529279067867057,0.05529279067867057,-11.917895331034883,-11.917895331034883,-11.917895331034883,0.0,0.0,0.0,21.27941439487894
11,2010-01-12,33.140272128758674,17.934607563416307,24.71592917389083,33.140272128758674,33.140272128758674,-11.819395735770556,-11.819395735770556,-11.819395735770556,0.03673520325182358,0.03673520325182358,0.03673520325182358,-11.856130939022378,-11.856130939022378,-11.856130939022378,0.0,0.0,0.0,21.32087639298812
12,2010-01-13,33.13852732228219,17.912002025246075,24.724035355243156,33.13852732228219,33.13852732228219,-11.821354324754617,-11.821354324754617,-11.821354324754617,-0.039772750131653475,-0.039772750131653475,-0.039772750131653475,-11.781581574622965,-11.781581574622965,-11.781581574622965,0.0,0.0,0.0,21.31717299752757
13,2010-01-14,33.136782515805706,18.027441852777898,25.03686756415028,33.136782515805706,33.136782515805706,-11.771591504766345,-11.771591504766345,-11.771591504766345,-0.07656536399989683,-0.07656536399989683,-0.07656536399989683,-11.69502614076645,-11.69502614076645,-11.69502614076645,0.0,0.0,0.0,21.36519101103936
14,2010-01-15,33.13503770932922,18.1993624790007,24.73642421751656,33.13503770932922,33.13503770932922,-11.68115054047637,-11.68115054047637,-11.68115054047637,-0.08389238723234578,-0.08389238723234578,-0.08389238723234578,-11.597258153244024,-11.597258153244024,-11.597258153244024,0.0,0.0,0.0,21.453887168852848
15,2010-01-16,33.13329290285273,18.42066013973732,25.041206780218243,33.13329290285273,33.13329290285273,-11.41086352633179,-11.41086352633179,-11.41086352633179,0.07820448515149371,0.07820448515149371,0.07820448515149371,-11.489068011483283,-11.489068011483283,-11.489068011483283,0.0,0.0,0.0,21.722429376520942
16,2010-01-17,33.13154809637625,18.424420564012436,25.31822893968321,33.13154809637625,33.13154809637625,-11.341228568712436,-11.341228568712436,-11.341228568712436,0.029998022282458466,0.029998022282458466,0.029998022282458466,-11.371226590994894,-11.371226590994894,-11.371226590994894,0.0,0.0,0.0,21.79031952766381
17,2010-01-18,33.12980328989976,18.45019269780556,25.381223575969635,33.12980328989976,33.12980328989976,-11.189177833134112,-11.189177833134112,-11.189177833134112,0.05529279067862168,0.05529279067862168,0.05529279067862168,-11.244470623812733,-11.244470623812733,-11.244470623812733,0.0,0.0,0.0,21.940625456765652
18,2010-01-19,33.12805848342328,18.42310837016809,25.18146242004745,33.12805848342328,33.12805848342328,-11.072755068821815,-11.072755068821815,-11.072755068821815,0.036735203251620774,0.036735203251620774,0.036735203251620774,-11.109490272073437,-11.109490272073437,-11.109490272073437,0.0,0.0,0.0,22.055303414601468
19,2010-01-20,33.1263136769468,18.77416575279958,25.71991606978848,33.1263136769468,33.1263136769468,-11.006691976077299,-11.006691976077299,-11.006691976077299,-0.039772750131800275,-0.039772750131800275,-0.039772750131800275,-10.9669192259455,-10.9669192259455,-10.9669192259455,0.0,0.0,0.0,22.1196217008695
20,2010-01-21,33.12456887047032,18.919710146171354,25.762086978705206,33.12456887047032,33.12456887047032,-10.893892936721807,-10.893892936721807,-10.893892936721807,-0.07656536399987729,-0.07656536399987729,-0.07656536399987729,-10.81732757272193,-10.81732757272193,-10.81732757272193,0.0,0.0,0.0,22.230675933748515
21,2010-01-22,33.12282406399383,18.879002287597967,25.883232941667334,33.12282406399383,33.12282406399383,-10.745109978819508,-10.745109978819508,-10.745109978819508,-0.08389238723243198,-0.08389238723243198,-0.08389238723243198,-10.661217591587073,-10.661217591587073,-10.661217591587073,0.0,0.0,0.0,22.377714085174325
22,2010-01-23,33.121079257517344,19.257503543924145,26.056499741871242,33.121079257517344,33.121079257517344,-10.42081804609966,-10.42081804609966,-10.42081804609966,0.07820448515136129,0.07820448515136129,0.07820448515136129,-10.499022531251022,-10.499022531251022,-10.499022531251022,0.0,0.0,0.0,22.700261211417683
23,2010-01-24,33.119334451040864,19.25223351318288,26.41709214514055,33.119334451040864,33.119334451040864,-10.301110306062153,-10.301110306062153,-10.301110306062153,0.029998022282615763,0.029998022282615763,0.029998022282615763,-10.33110832834477,-10.33110832834477,-10.33110832834477,0.0,0.0,0.0,22.81822414497871
24,2010-01-25,33.117589644564376,19.653141315149423,26.344055562282605,33.117589644564376,33.117589644564376,-10.102485335620868,-10.102485335620868,-10.102485335620868,0.05529279067857279,0.05529279067857279,0.05529279067857279,-10.15777812629944,-10.15777812629944,-10.15777812629944,0.0,0.0,0.0,23.015104308943506
25,2010-01-26,33.115844838087895,19.89807534028161,26.69760724565366,33.115844838087895,33.115844838087895,-9.94254415726185,-9.94254415726185,-9.94254415726185,0.03673520325165905,0.03673520325165905,0.03673520325165905,-9.979279360513509,-9.979279360513509,-9.979279360513509,0.0,0.0,0.0,23.173300680826046
26,2010-01-27,33.11410003161141,19.940103413753338,26.56467553382638,33.11410003161141,33.11410003161141,-9.835585839063679,-9.835585839063679,-9.835585839063679,-0.039772750131503616,-0.039772750131503616,-0.039772750131503616,-9.795813088932174,-9.795813088932174,-9.795813088932174,0.0,0.0,0.0,23.27851419254773
27,2010-01-28,33.11235522513493,20.43857353453988,26.69462576675503,33.11235522513493,33.11235522513493,-9.684110534527125,-9.684110534527125,-9.684110534527125,-0.07656536399997071,-0.07656536399997071,-0.07656536399997071,-9.607545170527155,-9.607545170527155,-9.607545170527155,0.0,0.0,0.0,23.4282446906078
28,2010-01-29,33.11061041865844,20.095725901667105,27.012990810958883,33.11061041865844,33.11061041865844,-9.498511217318347,-9.498511217318347,-9.498511217318347,-0.08389238723236926,-0.08389238723236926,-0.08389238723236926,-9.414618830085976,-9.414618830085976,-9.414618830085976,0.0,0.0,0.0,23.612099201340094
29,2010-01-30,33.10886561218195,20.50274180826726,27.38356152409728,33.10886561218195,33.10886561218195,-9.138963613148448,-9.138963613148448,-9.138963613148448,0.07820448515131584,0.07820448515131584,0.07820448515131584,-9.217168098299764,-9.217168098299764,-9.217168098299764,0.0,0.0,0.0,23.969901999033503
