,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
4472,2022-03-31,30.952322473242877,30.573176206278298,37.4596872618139,30.952322473242877,30.952322473242877,3.171153501355806,3.171153501355806,3.171153501355806,0.02790125640005227,0.02790125640005227,0.02790125640005227,3.1432522449557534,3.1432522449557534,3.1432522449557534,0.0,0.0,0.0,34.12347597459868
4473,2022-04-01,30.951267147970576,31.114472248351447,37.71090871506546,30.951267147970576,30.951267147970576,3.3286450671886145,3.3286450671886145,3.3286450671886145,-0.054897477122036235,-0.054897477122036235,-0.054897477122036235,3.3835425443106506,3.3835425443106506,3.3835425443106506,0.0,0.0,0.0,34.27991221515919
4474,2022-04-02,30.95021182269827,30.973689963287356,37.87651433904298,30.95021182269827,30.95021182269827,3.5158856168877626,3.5158856168877626,3.5158856168877626,-0.09814141493592582,-0.09814141493592582,-0.09814141493592582,3.614027031823688,3.614027031823688,3.614027031823688,0.0,0.0,0.0,34.466097439586036
4475,2022-04-03,30.94915649742597,31.454381337157795,38.070197410622384,30.94915649742597,30.94915649742597,3.7988284850045013,3.7988284850045013,3.7988284850045013,-0.035471556677103,-0.035471556677103,-0.035471556677103,3.8343000416816047,3.8343000416816047,3.8343000416816047,0.0,0.0,0.0,34.747984982430474
4476,2022-04-04,30.948101172153667,31.376654856583517,38.446444853828424,30.948101172153667,30.948101172153667,4.070552735056051,4.070552735056051,4.070552735056051,0.026469210111657322,0.026469210111657322,0.026469210111657322,4.044083524944393,4.044083524944393,4.044083524944393,0.0,0.0,0.0,35.01865390720972
4477,2022-04-05,30.94704584688137,32.28308557231873,38.67563417053159,30.94704584688137,30.94704584688137,4.336910098132473,4.336910098132473,4.336910098132473,0.0936829913664358,0.0936829913664358,0.0936829913664358,4.243227106766037,4.243227106766037,4.243227106766037,0.0,0.0,0.0,35.283955945013844
4478,2022-04-06,30.94599052160907,32.05060587762019,38.9421615328093,30.94599052160907,30.94599052160907,4.472163025086274,4.472163025086274,4.472163025086274,0.04045699085707621,0.04045699085707621,0.04045699085707621,4.431706034229197,4.431706034229197,4.431706034229197,0.0,0.0,0.0,35.41815354669534
4479,2022-04-07,30.944935196336765,32.08733994170737,39.06549418492513,30.944935196336765,30.944935196336765,4.637518384188051,4.637518384188051,4.637518384188051,0.027901256399989617,0.027901256399989617,0.027901256399989617,4.609617127788062,4.609617127788062,4.609617127788062,0.0,0.0,0.0,35.58245358052481
4480,2022-04-08,30.943879871064464,32.47654648689458,39.096011537716954,30.943879871064464,30.943879871064464,4.72227540522844,4.72227540522844,4.72227540522844,-0.05489747712205961,-0.05489747712205961,-0.05489747712205961,4.7771728823504995,4.7771728823504995,4.7771728823504995,0.0,0.0,0.0,35.666155276292905
4481,2022-04-09,30.94282454579216,32.1677549958541,39.10699399339685,30.94282454579216,30.94282454579216,4.8365524775790485,4.8365524775790485,4.8365524775790485,-0.09814141493582855,-0.09814141493582855,-0.09814141493582855,4.9346938925148764,4.9346938925148764,4.9346938925148764,0.0,0.0,0.0,35.77937702337121
4482,2022-04-10,30.94176922051986,32.69062182190845,39.69318962339442,30.94176922051986,30.94176922051986,5.0471282433169895,5.0471282433169895,5.0471282433169895,-0.03547155667737047,-0.03547155667737047,-0.03547155667737047,5.08259979999436,5.08259979999436,5.08259979999436,0.0,0.0,0.0,35.98889746383685
4483,2022-04-11,30.940713895247562,32.7602568518894,39.591491010891865,30.940713895247562,30.940713895247562,5.247868189631537,5.247868189631537,5.247868189631537,0.026469210111754647,0.026469210111754647,0.026469210111754647,5.221398979519782,5.221398979519782,5.221398979519782,0.0,0.0,0.0,36.1885820848791
4484,2022-04-12,30.939658569975258,33.00009367261843,39.548603716765584,30.939658569975258,30.939658569975258,5.445360183818236,5.445360183818236,5.445360183818236,0.0936829913664357,0.0936829913664357,0.0936829913664357,5.351677192451801,5.351677192451801,5.351677192451801,0.0,0.0,0.0,36.385018753793496
4485,2022-04-13,30.938603244702957,32.99071296999762,39.98552754115161,30.938603244702957,30.938603244702957,5.5145424357303545,5.5145424357303545,5.5145424357303545,0.04045699085712043,0.04045699085712043,0.04045699085712043,5.474085444873235,5.474085444873235,5.474085444873235,0.0,0.0,0.0,36.45314568043331
4486,2022-04-14,30.937547919430653,33.172580335427696,39.78496263514487,30.937547919430653,30.937547919430653,5.617228545712753,5.617228545712753,5.617228545712753,0.02790125639992697,0.02790125639992697,0.02790125639992697,5.589327289312826,5.589327289312826,5.589327289312826,0.0,0.0,0.0,36.554776465143405
4487,2022-04-15,30.936492594158352,33.072285072827796,40.30332064087823,30.936492594158352,30.936492594158352,5.643248329547096,5.643248329547096,5.643248329547096,-0.0548974771222095,-0.0548974771222095,-0.0548974771222095,5.698145806669306,5.698145806669306,5.698145806669306,0.0,0.0,0.0,36.57974092370545
4488,2022-04-16,30.935437268886055,33.401023723876165,40.040410936921404,30.935437268886055,30.935437268886055,5.7031690828238375,5.7031690828238375,5.7031690828238375,-0.09814141493585898,-0.09814141493585898,-0.09814141493585898,5.801310497759696,5.801310497759696,5.801310497759696,0.0,0.0,0.0,36.638606351709896
4489,2022-04-17,30.934381943613754,33.41826898117455,40.06032994850013,30.934381943613754,30.934381943613754,5.864132745994941,5.864132745994941,5.864132745994941,-0.03547155667738594,-0.03547155667738594,-0.03547155667738594,5.899604302672327,5.899604302672327,5.899604302672327,0.0,0.0,0.0,36.798514689608695
4490,2022-04-18,30.93332661834145,33.39133152747528,40.25159295471733,30.93332661834145,30.93332661834145,6.020280161379018,6.020280161379018,6.020280161379018,0.02646921011179295,0.02646921011179295,0.02646921011179295,5.993810951267226,5.993810951267226,5.993810951267226,0.0,0.0,0.0,36.95360677972047
4491,2022-04-19,30.93227129306915,33.8618366256789,40.574559474344966,30.93227129306915,30.93227129306915,6.1783858217388845,6.1783858217388845,6.1783858217388845,0.09368299136643561,0.09368299136643561,0.09368299136643561,6.084702830372448,6.084702830372448,6.084702830372448,0.0,0.0,0.0,37.110657114808035
4492,2022-04-20,30.931215967796845,33.964167484553045,40.58640277863772,30.931215967796845,30.931215967796845,6.21348652389297,6.21348652389297,6.21348652389297,0.04045699085705642,0.04045699085705642,0.04045699085705642,6.173029533035914,6.173029533035914,6.173029533035914,0.0,0.0,0.0,37.14470249168981
