,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-01-01,31.6416375,27.321606948753193,31.58878088188918,31.6416375,31.6416375,-2.14888748415388,-2.14888748415388,-2.14888748415388,-0.02267101815387567,-0.02267101815387567,-0.02267101815387567,-2.1262164660000042,-2.1262164660000042,-2.1262164660000042,0.0,0.0,0.0,29.49275001584612
1,2010-01-02,31.634989263840833,27.39348350481064,31.738636798185016,31.634989263840833,31.634989263840833,-2.108973427833086,-2.108973427833086,-2.108973427833086,-0.014570730855061836,-0.014570730855061836,-0.014570730855061836,-2.0944026969780243,-2.0944026969780243,-2.0944026969780243,0.0,0.0,0.0,29.526015836007748
2,2010-01-03,31.628341027681664,27.587938591548944,31.70296151211994,31.628341027681664,31.628341027681664,-2.04332488250962,-2.04332488250962,-2.04332488250962,0.02340446438021095,0.02340446438021095,0.02340446438021095,-2.066729346889831,-2.066729346889831,-2.066729346889831,0.0,0.0,0.0,29.585016145172045
3,2010-01-04,31.621692791522495,27.44414860844322,31.950446184360864,31.621692791522495,31.621692791522495,-2.0737392471133123,-2.0737392471133123,-2.0737392471133123,-0.030632909581455967,-0.030632909581455967,-0.030632909581455967,-2.043106337531856,-2.043106337531856,-2.043106337531856,0.0,0.0,0.0,29.547953544409182
4,2010-01-05,31.615044555363326,27.602617965553275,31.86622076262265,31.615044555363326,31.615044555363326,-1.9815231789740484,-1.9815231789740484,-1.9815231789740484,0.041797199657316896,0.041797199657316896,0.041797199657316896,-2.023320378631365,-2.023320378631365,-2.023320378631365,0.0,0.0,0.0,29.63352137638928
5,2010-01-06,31.608396319204157,27.418532894643313,31.546311843739336,31.608396319204157,31.608396319204157,-2.013014518494992,-2.013014518494992,-2.013014518494992,-0.005976234046872452,-0.005976234046872452,-0.005976234046872452,-2.0070382844481194,-2.0070382844481194,-2.0070382844481194,0.0,0.0,0.0,29.595381800709166
6,2010-01-07,31.60174808304499,27.356192469205848,31.73644279095186,31.60174808304499,31.60174808304499,-1.9851639044758602,-1.9851639044758602,-1.9851639044758602,0.008649228599985785,0.008649228599985785,0.008649228599985785,-1.9938131330758462,-1.9938131330758462,-1.9938131330758462,0.0,0.0,0.0,29.616584178569127
7,2010-01-08,31.595099846885812,27.306474892890595,31.679416445975782,31.595099846885812,31.595099846885812,-2.0057641539110422,-2.0057641539110422,-2.0057641539110422,-0.02267101815403804,-0.02267101815403804,-0.02267101815403804,-1.983093135757004,-1.983093135757004,-1.983093135757004,0.0,0.0,0.0,29.58933569297477
8,2010-01-09,31.588451610726644,27.420176700148687,31.85831122215232,31.588451610726644,31.588451610726644,-1.9888037467173252,-1.9888037467173252,-1.9888037467173252,-0.01457073085509509,-0.01457073085509509,-0.01457073085509509,-1.9742330158622299,-1.9742330158622299,-1.9742330158622299,0.0,0.0,0.0,29.59964786400932
9,2010-01-10,31.581803374567475,27.60035239692493,31.967915259703172,31.581803374567475,31.581803374567475,-1.9431031702201733,-1.9431031702201733,-1.9431031702201733,0.02340446438024099,0.02340446438024099,0.02340446438024099,-1.966507634600414,-1.966507634600414,-1.966507634600414,0.0,0.0,0.0,29.638700204347302
