,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1590,2014-05-10,33.29212381310671,34.61734850019353,38.61079428064387,33.29212381310671,33.29212381310671,3.3317252432170394,3.3317252432170394,3.3317252432170394,0.002142831441234516,0.002142831441234516,0.002142831441234516,3.3295824117758044,3.3295824117758044,3.3295824117758044,0.0,0.0,0.0,36.62384905632375
1591,2014-05-11,33.29520500114337,34.73053923688258,38.84278718421611,33.29520500114337,33.29520500114337,3.4430289827545715,3.4430289827545715,3.4430289827545715,-0.0015201597845892084,-0.0015201597845892084,-0.0015201597845892084,3.4445491425391603,3.4445491425391603,3.4445491425391603,0.0,0.0,0.0,36.73823398389794
1592,2014-05-12,33.29828618918003,34.779066764837495,38.81509252916085,33.29828618918003,33.29828618918003,3.506884454384692,3.506884454384692,3.506884454384692,-0.05299694894940067,-0.05299694894940067,-0.05299694894940067,3.559881403334093,3.559881403334093,3.559881403334093,0.0,0.0,0.0,36.80517064356472
1593,2014-05-13,33.30136737721669,34.981424601960946,39.23734961786581,33.30136737721669,33.30136737721669,3.7274739094269274,3.7274739094269274,3.7274739094269274,0.05312150924753091,0.05312150924753091,0.05312150924753091,3.674352400179396,3.674352400179396,3.674352400179396,0.0,0.0,0.0,37.02884128664362
1594,2014-05-14,33.30444856525335,34.84516683299525,39.2761481129572,33.30444856525335,33.30444856525335,3.7600134748064695,3.7600134748064695,3.7600134748064695,-0.026714973514103946,-0.026714973514103946,-0.026714973514103946,3.7867284483205736,3.7867284483205736,3.7867284483205736,0.0,0.0,0.0,37.06446204005982
1595,2014-05-15,33.30752975329002,35.15122413698786,39.34701109176964,33.30752975329002,33.30752975329002,3.840756186639645,3.840756186639645,3.840756186639645,-0.05503733400003406,-0.05503733400003406,-0.05503733400003406,3.895793520639679,3.895793520639679,3.895793520639679,0.0,0.0,0.0,37.148285939929664
1596,2014-05-16,33.31061094132668,35.23013506203599,39.60979345934382,33.31061094132668,33.31061094132668,4.08137834539044,4.08137834539044,4.08137834539044,0.0810050755595176,0.0810050755595176,0.0810050755595176,4.000373269830923,4.000373269830923,4.000373269830923,0.0,0.0,0.0,37.39198928671712
1597,2014-05-17,33.31369212936334,35.49401043734103,39.653975960517315,33.31369212936334,33.31369212936334,4.101500767008704,4.101500767008704,4.101500767008704,0.00214283144123991,0.00214283144123991,0.00214283144123991,4.099357935567465,4.099357935567465,4.099357935567465,0.0,0.0,0.0,37.41519289637204
1598,2014-05-18,33.316773317400006,35.35547811776023,39.72651924179836,33.316773317400006,33.316773317400006,4.190203417450929,4.190203417450929,4.190203417450929,-0.0015201597846363,-0.0015201597846363,-0.0015201597846363,4.191723577235565,4.191723577235565,4.191723577235565,0.0,0.0,0.0,37.50697673485094
1599,2014-05-19,33.319854505436666,35.39420235851902,39.544851564863215,33.319854505436666,33.319854505436666,4.223554168262194,4.223554168262194,4.223554168262194,-0.052996948949638585,-0.052996948949638585,-0.052996948949638585,4.276551117211833,4.276551117211833,4.276551117211833,0.0,0.0,0.0,37.54340867369886
