ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-11-25 00:00:00,4.6569650000000005,4.761849963168345,5.348222465478891,4.6569650000000005,4.6569650000000005,0.40081075293412793,0.40081075293412793,0.40081075293412793,0.3462355000012469,0.3462355000012469,0.3462355000012469,0.023432625035436624,0.023432625035436624,0.023432625035436624,0.031142627897444392,0.031142627897444392,0.031142627897444392,0.0,0.0,0.0,5.057775752934129
2020-11-26 00:00:00,4.656911326848249,4.726365149004148,5.315518047830259,4.656911326848249,4.656911326848249,0.3720899309504595,0.3720899309504595,0.3720899309504595,0.34623550000000347,0.34623550000000347,0.34623550000000347,-0.004094899999998055,-0.004094899999998055,-0.004094899999998055,0.029949330950454055,0.029949330950454055,0.029949330950454055,0.0,0.0,0.0,5.029001257798709
2020-11-27 00:00:00,4.656857653696498,4.805960383282064,5.392715789353179,4.656857653696498,4.656857653696498,0.4368825303595196,0.4368825303595196,0.4368825303595196,0.34623550000005676,0.34623550000005676,0.34623550000005676,0.061875731010176745,0.061875731010176745,0.061875731010176745,0.028771299349286017,0.028771299349286017,0.028771299349286017,0.0,0.0,0.0,5.093740184056018
2020-11-28 00:00:00,4.656803980544747,4.767306180994698,5.316354776302875,4.656803980544747,4.656803980544747,0.3814722992401719,0.3814722992401719,0.3814722992401719,0.3462354999988133,0.3462354999988133,0.3462354999988133,0.007598726423374811,0.007598726423374811,0.007598726423374811,0.027638072817983587,0.027638072817983587,0.027638072817983587,0.0,0.0,0.0,5.0382762797849185
2020-11-29 00:00:00,4.656750307392996,4.702636146007741,5.251698102765928,4.656750307392996,4.656750307392996,0.32214497834644484,0.32214497834644484,0.32214497834644484,0.3462355000024543,0.3462355000024543,0.3462355000024543,-0.0506683177267956,-0.0506683177267956,-0.0506683177267956,0.026577796070786117,0.026577796070786117,0.026577796070786117,0.0,0.0,0.0,4.978895285739441
2020-11-30 00:00:00,4.6566966342412455,4.7245809048210985,5.295896444091826,4.6566966342412455,4.6566966342412455,0.36056358721859705,0.36056358721859705,0.36056358721859705,0.34623550000121084,0.34623550000121084,0.34623550000121084,-0.01128826552717566,-0.01128826552717566,-0.01128826552717566,0.02561635274456187,0.02561635274456187,0.02561635274456187,0.0,0.0,0.0,5.017260221459843
2020-12-01 00:00:00,4.656642961089494,4.7109512217201654,5.2806799098834585,4.656642961089494,4.656642961089494,0.34415647338652944,0.34415647338652944,0.34415647338652944,0.34623550000126413,0.34623550000126413,0.34623550000126413,-0.026855599214988528,-0.026855599214988528,-0.026855599214988528,0.024776572600253805,0.024776572600253805,0.024776572600253805,0.0,0.0,0.0,5.000799434476024
2020-12-02 00:00:00,4.656589287937743,4.770850795616553,5.32819330698153,4.656589287937743,4.656589287937743,0.39374566216405066,0.39374566216405066,0.39374566216405066,0.3462355000000207,0.3462355000000207,0.3462355000000207,0.023432625035452636,0.023432625035452636,0.023432625035452636,0.024077537128577332,0.024077537128577332,0.024077537128577332,0.0,0.0,0.0,5.050334950101794
2020-12-03 00:00:00,4.656535614785992,4.734488701738816,5.297054553584994,4.656535614785992,4.656535614785992,0.36567460554895814,0.36567460554895814,0.36567460554895814,0.34623549999877734,0.34623549999877734,0.34623549999877734,-0.004094899999946117,-0.004094899999946117,-0.004094899999946117,0.02353400555012697,0.02353400555012697,0.02353400555012697,0.0,0.0,0.0,5.02221022033495
2020-12-04 00:00:00,4.656481941634241,4.79699511617681,5.38098631075437,4.656481941634241,4.656481941634241,0.43126721036053256,0.43126721036053256,0.43126721036053256,0.34623549999883063,0.34623549999883063,0.34623549999883063,0.06187573101013429,0.06187573101013429,0.06187573101013429,0.02315597935156762,0.02315597935156762,0.02315597935156762,0.0,0.0,0.0,5.087749151994774
2020-12-05 00:00:00,4.6564282684824905,4.739612403070668,5.3329549081464345,4.6564282684824905,4.6564282684824905,0.3767826454915123,0.3767826454915123,0.3767826454915123,0.34623549999758724,0.34623549999758724,0.34623549999758724,0.007598726423179273,0.007598726423179273,0.007598726423179273,0.022948419070745723,0.022948419070745723,0.022948419070745723,0.0,0.0,0.0,5.033210913974003
2020-12-06 00:00:00,4.65637459533074,4.670105040402308,5.262551502018707,4.65637459533074,4.65637459533074,0.31847830444806463,0.31847830444806463,0.31847830444806463,0.34623550000122805,0.34623550000122805,0.34623550000122805,-0.05066831772685465,-0.05066831772685465,-0.05066831772685465,0.022911122173691158,0.022911122173691158,0.022911122173691158,0.0,0.0,0.0,4.974852899778805
2020-12-07 00:00:00,4.656320922178988,4.70998891556731,5.304709781696597,4.656320922178988,4.656320922178988,0.35798600018434656,0.35798600018434656,0.35798600018434656,0.34623550000128134,0.34623550000128134,0.34623550000128134,-0.011288265527126477,-0.011288265527126477,-0.011288265527126477,0.023038765710191728,0.023038765710191728,0.023038765710191728,0.0,0.0,0.0,5.0143069223633345
2020-12-08 00:00:00,4.656267249027238,4.7188317638186295,5.274763829225603,4.656267249027238,4.656267249027238,0.3427010129407666,0.3427010129407666,0.3427010129407666,0.346235500000038,0.346235500000038,0.346235500000038,-0.026855599214930564,-0.026855599214930564,-0.026855599214930564,0.02332111215565921,0.02332111215565921,0.02332111215565921,0.0,0.0,0.0,4.998968261968004
